2024-06-24T10:00:01.001Z INFO  Starting MyApp version 1.2.3
2024-06-24T10:00:01.004Z INFO  Environment: production
2024-06-24T10:00:01.005Z INFO  Loading configuration from /etc/myapp/config.yaml
2024-06-24T10:00:01.010Z INFO  Connecting to PostgreSQL at db-service:5432
2024-06-24T10:00:01.036Z INFO  Successfully connected to database
2024-06-24T10:00:01.038Z INFO  Running database migrations...
2024-06-24T10:00:01.050Z INFO  Migrations applied successfully
2024-06-24T10:00:01.054Z INFO  Initializing HTTP server on port 8080
2024-06-24T10:00:01.058Z INFO  Health checks configured at /healthz
2024-06-24T10:00:01.060Z INFO  Application startup complete
2024-06-24T10:00:01.060Z INFO  Pod ready to receive traffic
2024-06-24T10:00:05.210Z INFO  GET / 200 - Mozilla/5.0 - 4ms
2024-06-24T10:00:05.212Z INFO  GET /static/logo.png 200 - Mozilla/5.0 - 2ms
2024-06-24T10:00:06.010Z INFO  GET /api/users 200 - Mozilla/5.0 - 12ms
2024-06-24T10:00:06.110Z INFO  GET /api/posts 200 - Mozilla/5.0 - 9ms
2024-06-24T10:00:08.402Z INFO  POST /api/login 200 - Mozilla/5.0 - 15ms
2024-06-24T10:00:08.410Z INFO  Authenticated user: user42
2024-06-24T10:00:10.008Z INFO  GET /api/dashboard 200 - Mozilla/5.0 - 18ms
2024-06-24T10:00:15.201Z INFO  GET /api/posts/123 200 - Mozilla/5.0 - 8ms
2024-06-24T10:00:20.305Z INFO  GET /api/posts 200 - Mozilla/5.0 - 11ms
2024-06-24T10:00:22.107Z WARN  Deprecated endpoint used: /api/v1/items
2024-06-24T10:00:22.108Z INFO  GET /api/v1/items 200 - Mozilla/5.0 - 7ms
2024-06-24T10:00:25.300Z INFO  GET /metrics 200 - Prometheus/2.33.1 - 3ms
2024-06-24T10:00:27.700Z INFO  GET /healthz 200 - kube-probe - 1ms
2024-06-24T10:00:30.411Z INFO  POST /api/logout 204 - Mozilla/5.0 - 5ms
2024-06-24T10:00:32.555Z INFO  GET / 200 - Mozilla/5.0 - 4ms
2024-06-24T10:00:35.004Z INFO  GET /static/app.js 200 - Mozilla/5.0 - 2ms
2024-06-24T10:00:37.205Z INFO  POST /api/comments 201 - Mozilla/5.0 - 10ms
2024-06-24T10:00:37.208Z INFO  New comment posted by user42
2024-06-24T10:00:39.605Z INFO  GET /api/comments/987 200 - Mozilla/5.0 - 5ms
2024-06-24T10:00:40.609Z WARN  Slow query: SELECT * FROM logs LIMIT 10000 (execution: 213ms)
2024-06-24T10:00:43.811Z INFO  GET /healthz 200 - kube-probe - 1ms
2024-06-24T10:00:45.309Z INFO  POST /api/login 401 - Mozilla/5.0 - 6ms
2024-06-24T10:00:45.310Z WARN  Failed login attempt for user: admin
2024-06-24T10:00:47.410Z INFO  GET /api/users 200 - Mozilla/5.0 - 10ms
2024-06-24T10:00:50.100Z INFO  GET / 200 - Mozilla/5.0 - 4ms
2024-06-24T10:00:51.204Z INFO  GET /api/status 200 - Mozilla/5.0 - 2ms
2024-06-24T10:00:55.308Z INFO  GET /api/posts 200 - Mozilla/5.0 - 11ms
2024-06-24T10:00:56.601Z ERROR Failed to fetch analytics data: timeout
